Time, Value
15:59:00, -38
15:59:00, 19
15:59:00, 58
15:59:00, 43
15:59:00, 26
15:59:00, 0
15:59:00, 4
15:59:00, 6
15:59:00, -36
15:59:00, -70
15:59:00, -57
15:59:00, -49
15:59:00, -100
15:59:00, -150
15:59:00, -125
15:59:00, -77
15:59:00, -67
15:59:00, -51
15:59:00, -11
15:59:00, 7
15:59:00, -7
15:59:00, -9
15:59:00, 25
15:59:00, 41
15:59:00, 3
15:59:00, -1
15:59:00, 35
15:59:00, 73
15:59:00, 102
15:59:00, 107
15:59:00, 130
15:59:00, 156
15:59:00, 149
15:59:00, 122
15:59:00, 105
15:59:00, 104
15:59:00, 105
15:59:00, 122
15:59:00, 147
15:59:00, 130
15:59:00, 129
15:59:00, 153
15:59:00, 136
15:59:00, 92
15:59:00, 84
15:59:00, 83
15:59:00, 72
15:59:00, 72
15:59:00, 91
15:59:00, 91
15:59:00, 74
15:59:00, 84
15:59:00, 125
15:59:00, 155
15:59:00, 136
15:59:00, 100
15:59:00, 74
15:59:00, 51
15:59:00, 52
15:59:00, 28
15:59:00, -1
15:59:00, 8
15:59:00, 25
15:59:00, 53
15:59:00, 64
15:59:00, 24
15:59:00, -10
15:59:00, -23
15:59:00, -14
15:59:00, 1
15:59:00, 5
15:59:00, 25
15:59:00, 50
15:59:00, 53
15:59:00, 59
15:59:00, 81
15:59:00, 69
15:59:00, 17
15:59:00, -20
15:59:00, 5
15:59:00, 51
15:59:00, 51
15:59:00, 27
15:59:00, 22
15:59:00, 34
15:59:00, 84
15:59:00, 87
15:59:00, -12
15:59:00, -78
15:59:00, -42
15:59:00, 0
15:59:00, 19
15:59:00, 4
15:59:00, -38
15:59:00, -45
15:59:00, -2
15:59:00, 23
15:59:00, 37
15:59:00, 37
15:59:00, 3
15:59:00, 3
15:59:00, 10
15:59:00, -40
15:59:00, -72
15:59:00, -70
15:59:00, -73
15:59:00, -66
15:59:00, -23
15:59:00, 17
15:59:00, 10
15:59:00, -6
15:59:00, -24
15:59:00, -30
15:59:00, -42
15:59:00, -73
15:59:00, -45
15:59:00, 32
15:59:00, 66
15:59:00, 66
15:59:00, 50
15:59:00, 7
15:59:00, -20
15:59:00, -8
15:59:00, 9
15:59:00, 27
15:59:00, 22
15:59:00, -12
15:59:00, -42
15:59:00, -33
15:59:00, -17
15:59:00, -12
15:59:00, -22
15:59:00, 6
15:59:00, 44
15:59:00, 40
15:59:00, -23
15:59:00, -93
15:59:00, -125
15:59:00, -116
15:59:00, -81
15:59:00, -26
15:59:00, 23
15:59:00, 16
15:59:00, -37
15:59:00, -68
15:59:00, -85
15:59:00, -51
15:59:00, 41
15:59:00, 119
15:59:00, 172
15:59:00, 178
15:59:00, 147
15:59:00, 137
15:59:00, 74
15:59:00, 25
15:59:00, 69
15:59:00, 124
15:59:00, 116
15:59:00, 102
15:59:00, 146
15:59:00, 156
15:59:00, 121
15:59:00, 130
15:59:00, 211
15:59:00, 323
15:59:00, 416
15:59:00, 429
15:59:00, 380
15:59:00, 362
15:59:00, 378
15:59:00, 412
15:59:00, 419
15:59:00, 400
15:59:00, 413
15:59:00, 474
15:59:00, 533
15:59:00, 503
15:59:00, 459
15:59:00, 467
15:59:00, 474
15:59:00, 452
15:59:00, 390
15:59:00, 317
15:59:00, 246
15:59:00, 301
15:59:00, 437
15:59:00, 471
15:59:00, 426
15:59:00, 433
15:59:00, 534
15:59:00, 630
15:59:00, 619
15:59:00, 555
15:59:00, 471
15:59:00, 394
15:59:00, 377
15:59:00, 321
15:59:00, 229
15:59:00, 189
15:59:00, 161
15:59:00, 149
15:59:00, 125
15:59:00, 107
15:59:00, 101
15:59:00, 88
15:59:00, 92
15:59:00, 134
15:59:00, 82
15:59:00, -50
15:59:00, -164
15:59:00, -258
15:59:00, -324
15:59:00, -328
15:59:00, -283
15:59:00, -260
15:59:00, -279
15:59:00, -343
15:59:00, -470
15:59:00, -539
15:59:00, -467
15:59:00, -350
15:59:00, -268
15:59:00, -249
15:59:00, -281
15:59:00, -305
15:59:00, -344
15:59:00, -342
15:59:00, -278
15:59:00, -259
15:59:00, -322
15:59:00, -361
15:59:00, -402
15:59:00, -491
15:59:00, -551
15:59:00, -586
15:59:00, -579
15:59:00, -550
15:59:00, -538
15:59:00, -546
15:59:00, -542
15:59:00, -477
15:59:00, -417
15:59:00, -408
15:59:00, -452
15:59:00, -474
15:59:00, -493
15:59:00, -517
15:59:00, -522
15:59:00, -535
15:59:00, -524
15:59:00, -485
15:59:00, -476
15:59:00, -470
15:59:00, -435
15:59:00, -371
15:59:00, -307
15:59:00, -268
15:59:00, -264
15:59:00, -277
15:59:00, -277
15:59:00, -284
15:59:00, -284
15:59:00, -269
15:59:00, -232
15:59:00, -186
15:59:00, -166
15:59:00, -153
15:59:00, -149
15:59:00, -169
15:59:00, -203
15:59:00, -210
15:59:00, -169
15:59:00, -148
15:59:00, -162
15:59:00, -177
15:59:00, -165
15:59:00, -91
15:59:00, -19
15:59:00, -8
15:59:00, -36
15:59:00, -26
15:59:00, 35
15:59:00, 70
15:59:00, 61
15:59:00, 53
15:59:00, 19
15:59:00, -29
15:59:00, -9
15:59:00, 33
15:59:00, 57
15:59:00, 82
15:59:00, 90
15:59:00, 98
15:59:00, 85
15:59:00, 64
15:59:00, 66
15:59:00, 100
15:59:00, 121
15:59:00, 141
15:59:00, 166
15:59:00, 169
15:59:00, 148
15:59:00, 108
15:59:00, 97
15:59:00, 134
15:59:00, 169
15:59:00, 152
15:59:00, 114
15:59:00, 122
15:59:00, 139
15:59:00, 155
15:59:00, 188
15:59:00, 217
15:59:00, 186
15:59:00, 185
15:59:00, 225
15:59:00, 183
15:59:00, 118
15:59:01, 108
15:59:01, 140
15:59:01, 154
15:59:01, 140
15:59:01, 121
15:59:01, 112
15:59:01, 112
15:59:01, 133
15:59:01, 151
15:59:01, 137
15:59:01, 124
15:59:01, 133
15:59:01, 163
